Exploratory,EP,Ta_2_ann,P_ann,soil_type,slope,aspect,elevation,type,mixture,N,DBH_sd,h_sd,SCI,CEA,BA,SDI,h,con_BA,age_MTS,H,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,VH_desc_year,VH_asc_year,VH_desc_winter,VH_asc_winter,VV_desc_year,VV_asc_year,VV_desc_winter,VV_asc_winter,S1_ndi_mean,S1_ndi_std,EVI_mean,EVI_std,EVI_contrast,EVI_diss,EVI_entr,EVI_idm,EVI_var,S1_contrast,S1_diss,S1_entr,S1_idm,S1_var,Q
ALB,AEW01,8.092813,1030,Cambisol,2.4,264.37,747.84,Spruce_AC_immature_timber,pure,14,7.7012,1.810463415,3.7511,1.3105,44.3545,841.0612,23.44,98.2937,54,0.399642873,83.58471182,238.1259623,128.272836,460.8502133,1607.268727,2038.497893,2048.102606,2232.971442,741.1726488,338.0928787,-19.02788471,-14.98070134,-18.78963854,-16.16646851,-13.26082626,-8.85964346,-12.44723327,-9.801796898,0.20446715,0.032707117,0.389415129,0.032810571,5.314342571,1.854166667,1.87783824,0.415855958,2.571114535,9.871744792,2.565565775,2.108887301,0.307313511,4.573278356,0.491659746
ALB,AEW02,6.68714,910.75,Leptosol,2.77,272.43,737.34,Spruce_AC_immature_timber,pure,4,11.382,1.763834207,4.2777,1.2642,42.5242,728.1669,26.89,96.6986,74,0.159304445,82.42053532,217.7518551,122.4852631,402.2064207,1354.564194,1726.862121,1788.603249,1877.808993,649.0431562,280.6987658,-20.34967124,-15.51467462,-19.38026362,-17.05569081,-13.51945677,-9.354222326,-12.66529811,-10.50024769,0.208439555,0.033657628,0.343159245,0.030942567,5.895833333,1.958333333,1.884917367,0.400042597,3.039930556,8.533294087,2.416666667,2.094446734,0.319348681,4.397352431,0.865405258
ALB,AEW03,7.163209,959.33,Cambisol,7.25,355.4,693.43,Spruce_AC_immature_timber,pure,3,9.4923,1.922093766,3.8772,1.3308,43.2572,772.4578,28.78,97.3211,64,0.270279702,83.52424471,216.580352,118.833966,400.0188108,1432.066468,1832.394987,1871.552363,2021.386888,674.5358016,311.5890749,-19.95691434,-15.74289885,-18.98761526,-17.00359682,-13.2938989,-9.66668037,-12.36737956,-10.74978713,0.210671244,0.031541823,0.36487199,0.025837105,3.674678198,1.5625,1.909692551,0.435252041,1.890190972,8.4375,2.458333333,2.123327867,0.301815611,4.409722222,0.435453927
ALB,AEW04,7.488208,944.62,Cambisol,18.36,15.13,764.66,Beech_AC_pole_wood,pure,5,4.5764,1.787300882,4.0188,1.1844,32.4834,799.5732,22.22,3.0654,54,0.31978558,159.9937724,437.0606217,228.4350112,1010.826145,4013.634939,5126.549136,5142.594382,5572.015078,2231.053593,1024.690095,-14.40794495,-15.41983277,-14.75983123,-15.5478079,-9.033991942,-10.13068753,-9.971233953,-10.28717751,0.192012588,0.031802898,0.810876387,0.028881222,5.368055556,1.756526413,1.950041072,0.428502877,2.628761574,11.6875,2.875,2.137768433,0.258684941,5.572229107,0.693819863
ALB,AEW05,7.146965,997.81,Cambisol,5.55,172.35,788.19,Beech_AC_mature_timber,pure,3,13.0179,1.452966315,2.6462,1.2132,21.7624,334.4732,33.89,0.4246,154,0.098351757,124.6108842,328.8573528,154.6952082,657.7011264,2496.127455,3218.815575,3278.875003,3538.995591,1743.25331,761.5274577,-13.93582721,-14.07874491,-14.34293963,-14.15769961,-8.568683113,-8.846401812,-9.103270824,-8.924169389,0.222254832,0.02832544,0.591033101,0.042372127,19.70833333,3.5625,2.051125036,0.264309683,9.68153105,8.9375,2.479166667,2.123327867,0.295542273,4.287760417,0.602778108
ALB,AEW06,7.5492,957.41,Cambisol,8.58,317.76,740.2,Beech_AC_immature_timber,pure,7,13.049,0.951189731,5.3019,1.2332,27.4388,486.6435,29.29,14.5429,94,0.538294701,175.023112,415.4685014,216.3012912,825.585105,2952.689422,3777.485875,3861.636259,4153.767445,1845.529881,794.5511413,-15.56446759,-13.74074372,-15.58437931,-13.90738657,-10.04458444,-8.288912682,-10.38758769,-8.585208454,0.199653136,0.023522171,0.662074381,0.043789674,15.62184343,3.111111111,2.036684469,0.287309984,7.199652778,5.298611111,1.833333333,2.051125036,0.377611237,2.353298611,0.380320509
ALB,AEW07,7.267545,944.36,Leptosol,13.07,6.59,771.94,Beech_unmanaged_mature_timber,mixed,5,21.8611,2.973093627,6.8184,0.7411,37.743,583.803,26.63,28.7991,144,0.675112074,135.3363964,349.7328747,204.4853417,749.1733932,2475.369772,3095.368206,3104.19138,3438.279591,1616.981596,820.0709941,-14.92479175,-14.75258436,-15.48322158,-15.32439672,-9.264831142,-9.184688668,-9.726653212,-9.703966018,0.230817432,0.037063213,0.551761383,0.080400913,55.4375,5.890858209,2.080006168,0.206357834,26.22743056,16.45075758,3.261226394,2.195530698,0.233623948,7.948449275,0.790682009
ALB,AEW08,7.743314,948.17,Cambisol,12.44,211.28,766.02,Beech_unmanaged_mature_timber,mixed,4,18.9164,2.598076211,6.0592,0.9139,42.054,661.0414,26.33,32.7151,164,0.846324716,142.5536447,353.7092601,184.3211364,715.489454,2557.677243,3213.368835,3300.605604,3527.779514,1567.541674,731.7812655,-15.68879042,-13.25552962,-16.0639807,-13.30774686,-10.2950117,-7.790643704,-10.74499813,-7.992150184,0.200224358,0.020598197,0.613814699,0.100375936,37.50002336,4.84375,2.080006168,0.224084229,21.31553819,4.822916667,1.8125,1.993362771,0.392078426,2.356119792,0.349085333
ALB,AEW09,7.812462,941.84,Leptosol,10.52,189.67,742.1,Beech_unmanaged_mature_timber,pure,4,14.4344,1.802775638,5.627,0.8821,37.79,657.33,23.33,11.7726,164,0.539121311,128.8673679,322.2536777,151.2667743,699.4148723,2659.489676,3465.058791,3535.508319,3804.211211,1777.718723,783.7172651,-14.92289755,-13.32648242,-14.68934698,-13.11937987,-9.543670239,-8.043214235,-9.77372148,-7.987551021,0.201689388,0.023756956,0.639748507,0.062805358,28.19345238,4.416666667,2.051125036,0.266924623,15.66666667,6.056769148,1.958333333,2.080006168,0.364253394,2.912072147,0.557881122
ALB,AEW10,6.713876,936.17,Leptosol,4.27,191,702.46,Spruce_AC_immature_timber,pure,6,7.9421,0.881917104,4.2763,1.3404,45.1939,894.5842,28.56,97.6702,47,0.293445773,82.28372533,239.1498342,124.7406362,447.745221,1582.652295,2031.415298,2072.225975,2212.572553,715.4664301,293.8476791,-16.36551616,-15.08000865,-17.46308781,-16.5050365,-10.1212992,-9.179303127,-11.15164394,-10.23031992,0.219612662,0.024143492,0.381696622,0.057700893,1.431483477,1.088541667,1.72082861,0.554166667,1.200493707,5.979166667,2,2.065565602,0.362382164,2.846043765,1.067464659
ALB,AEW11,7.420591,1008.98,Cambisol,3.09,111.71,756.22,Spruce_AC_mature_timber,pure,4,8.5511,2.242270675,3.7806,1.3169,51.9323,883.7526,30.44,99.5155,73,0.096315842,77.204317,219.6198862,121.611886,413.7449025,1314.59173,1672.077742,1701.094574,1838.094418,620.6301203,297.6389517,-15.88919213,-16.09194981,-17.53255098,-17.33198316,-9.445084275,-9.91039754,-10.40813883,-10.9258639,0.255603924,0.030239915,0.331673851,0.017149767,2.72392918,1.280060442,1.747873144,0.495833333,1.354290956,10.80486334,2.6875,2.108887301,0.297731931,5.348524306,0.676181927
ALB,AEW12,7.189522,947.37,Cambisol,2.15,21.76,729.69,Spruce_AC_mature_timber,pure,3,10.6186,1.069044968,3.6601,1.2304,42.366,696.4022,32.5,99.7205,75,0.105858397,65.22125075,217.6775608,119.8385513,427.8439439,1350.862386,1684.303369,1713.136672,1873.886875,672.3459464,322.7429648,-16.59417987,-15.91258934,-18.02728395,-17.37442733,-9.986812634,-9.778530356,-11.00293155,-10.87793847,0.245607863,0.037555828,0.333314463,0.025326364,6.27877429,2.020833333,1.957120198,0.368872549,3.057691098,13.59375,2.9375,2.152208999,0.27227007,6.842447917,0.25031946
ALB,AEW13,6.882888,965.64,Cambisol,4.27,235.88,714.72,Spruce_AC_mature_timber,pure,5,12.7064,1.224744871,5.0127,1.2445,52.8248,857.944,35.67,98.4882,94,0.548622489,82.14619126,220.1226955,119.7354279,426.093486,1356.884993,1706.879632,1746.343257,1866.419014,712.1942418,319.8005282,-16.87101177,-14.87824675,-18.0478045,-16.22640617,-10.76071165,-8.931181493,-11.81656993,-9.951535377,0.208802558,0.019194061,0.33927837,0.027861798,8.11603139,2.302083333,1.978922204,0.357283878,3.849491567,5.15555924,1.770833333,1.993362771,0.403820958,2.389583333,0.436238118
ALB,AEW14,6.347387,933.35,Cambisol,3.49,23.8,738.49,Spruce_AC_mature_timber,pure,6,17.659,4.216370214,4.3309,1.137,41.3692,648.7974,16.56,99.0283,93,0.779069571,95.4103889,235.1719206,133.9249922,438.0570335,1428.174328,1794.593334,1847.53099,2006.82273,775.7076348,374.858145,-19.17972387,-16.24657502,-18.73905292,-17.61471777,-12.67502357,-10.07165424,-11.97731015,-11.21507542,0.220854046,0.034363341,0.355769854,0.033142519,9.091758098,2.416666667,1.993362771,0.337820309,4.317905088,9.657194912,2.5625,2.108887301,0.292081907,4.678602431,0.453941491
